"ogs"	"Z_sum"	"w_sum"	"Z_meta"	"p_meta"	"q_meta"	"gene"	"annot"
"ko:K03778"	-7.65810201094556	15	-1.97731343679665	0.0480062117745263	1	"ldhA"	"ldhA; D-lactate dehydrogenase [EC:1.1.1.28]"
"ko:K07004"	-10.6321161348632	29	-1.97433440120111	0.0483437316987004	1	"K07004"	"K07004; uncharacterized protein"
"ko:K16959"	-5.9193818947691	9	-1.97312729825637	0.0484810608483904	1	"tcyM"	"tcyM; L-cystine transport system permease protein"
"ko:K19340"	-5.21471108803294	7	-1.97097552828374	0.0487266750065733	1	"nosF"	"nosF; Cu-processing system ATP-binding protein"
"ko:K01809"	-7.87659947573485	16	-1.96914986893371	0.0489358836436822	1	"manA, MPI"	"manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]"
"ko:K00611"	-5.89722824358664	9	-1.96574274786221	0.0493283341775271	1	"OTC, argF, argI"	"OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]"
"ko:K03310"	-5.88801162869378	9	-1.96267054289793	0.0496844680515069	1	"TC.AGCS"	"TC.AGCS; alanine or glycine:cation symporter, AGCS family"
"ko:K07491"	-11.2581290020158	33	-1.95978870711776	0.0500204917218922	1	"rayT"	"rayT; REP-associated tyrosine transposase"
"ko:K06985"	-4.37792114317578	5	-1.95786585525493	0.0502457554034029	1	"K06985"	"K06985; aspartyl protease family protein"
"ko:K04042"	-5.17433766515195	7	-1.95571580878095	0.0504986413919023	1	"glmU"	"glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]"
"ko:K02460"	-5.52485856073572	8	-1.95333247669639	0.0507802116005725	1	"gspK"	"gspK; general secretion pathway protein K"
"ko:K01181"	-9.75552582642011	25	-1.95110516528402	0.0510445369049967	1	"E3.2.1.8, xynA"	"E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]"
"ko:K19355"	-7.80107709934535	16	-1.95026927483634	0.051144032758984	1	"MAN"	"MAN; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
"ko:K09693"	-7.78988150496884	16	-1.94747037624221	0.0514783679386695	1	"tagH"	"tagH; teichoic acid transport system ATP-binding protein [EC:7.5.2.4]"
"ko:K19168"	-4.7633525777947	6	-1.94463054676132	0.051819460087501	1	"cptA"	"cptA; toxin CptA"
"ko:K18491"	-7.77242429337074	16	-1.94310607334268	0.0520033433738755	1	"ESX1"	"ESX1; homeobox protein ESX1"
"ko:K19956"	-5.1378980400747	7	-1.94194292509197	0.052144010136246	1	"sorE"	"sorE; L-sorbose 1-phosphate reductase [EC:1.1.1.-]"
"ko:K01089"	-7.25717118619745	14	-1.93956058399419	0.0524331150232062	1	"hisB"	"hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]"
"ko:K01358"	-5.13108342127416	7	-1.93936724128827	0.0524566364741297	1	"clpP, CLPP"	"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
"ko:K16957"	-4.74978696281247	6	-1.93909240763574	0.0524900870336924	1	"tcyK"	"tcyK; L-cystine transport system substrate-binding protein"
"ko:K03449"	-4.31310430653684	5	-1.92887888469269	0.0537458997417545	1	"MFS.CP"	"MFS.CP; MFS transporter, CP family, cyanate transporter"
"ko:K07085"	-5.43478945956958	8	-1.92148824059141	0.0546701834798614	1	"K07085"	"K07085; putative transport protein"
"ko:K06218"	-9.21048740051431	23	-1.92051938349831	0.0547923271592755	1	"relE, stbE"	"relE, stbE; mRNA interferase RelE/StbE"
"ko:K15773"	-9.37626516309628	24	-1.91392211188497	0.0556301085973586	1	"hipB"	"hipB; HTH-type transcriptional regulator / antitoxin HipB"
"ko:K07577"	-6.88536901498444	13	-1.90965777184749	0.0561772914213211	1	"K07577"	"K07577; putative mRNA 3-end processing factor"
"ko:K06956"	-6.03372395186453	10	-1.90803104606041	0.0563872037590306	1	"K06956"	"K06956; uncharacterized protein"
"ko:K03543"	-5.38731137349449	8	-1.90470220228068	0.0568187925750169	1	"emrA"	"emrA; membrane fusion protein, multidrug efflux system"
"ko:K00046"	-9.48186798747481	25	-1.89637359749496	0.0579106605759189	1	"idnO"	"idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]"
"ko:K07452"	-9.07974451432483	23	-1.89325760719238	0.0583236198205032	1	"mcrB"	"mcrB; 5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]"
"ko:K00841"	-4.63727533108315	6	-1.89315972632494	0.0583366314068927	1	"patA"	"patA; aminotransferase [EC:2.6.1.-]"
"ko:K06895"	-5.35410588473146	8	-1.89296228914221	0.0583628846396389	1	"lysE, argO"	"lysE, argO; L-lysine exporter family protein LysE/ArgO"
"ko:K16950"	-4.63649452181721	6	-1.89284096227694	0.0583790223474873	1	"asrA"	"asrA; anaerobic sulfite reductase subunit A"
"ko:K00042"	-5.00286839608277	7	-1.89090651685994	0.0586368243567742	1	"garR, glxR"	"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]"
"ko:K06188"	-5.66871257136858	9	-1.88957085712286	0.0588153778655876	1	"aqpZ"	"aqpZ; aquaporin Z"
"ko:K09015"	-6.79964733985236	13	-1.88588285683923	0.0593107421492279	1	"sufD"	"sufD; Fe-S cluster assembly protein SufD"
"ko:K00759"	-4.61888753088378	6	-1.88565293832816	0.0593417386189376	1	"APRT, apt"	"APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]"
"ko:K09935"	-7.53692530116322	16	-1.8842313252908	0.0595336920680136	1	"ybiA"	"ybiA; N-glycosidase YbiA [EC:3.2.2.-]"
"ko:K15342"	-11.1287990945809	35	-1.88111038096078	0.0599569051593784	1	"cas1"	"cas1; CRISP-associated protein Cas1"
"ko:K01812"	-4.97694433476616	7	-1.88110814268615	0.0599572095717328	1	"uxaC"	"uxaC; glucuronate isomerase [EC:5.3.1.12]"
"ko:K17320"	-6.22565511658166	11	-1.87710564507797	0.0605036158644053	1	"lplC"	"lplC; putative aldouronate transport system permease protein"
"ko:K01813"	-7.73021777940577	17	-1.87485320079515	0.0608129218512931	1	"rhaA"	"rhaA; L-rhamnose isomerase [EC:5.3.1.14]"
"ko:K16013"	-4.19073989704057	5	-1.87415585716064	0.0609089463537057	1	"cydD"	"cydD; ATP-binding cassette, subfamily C, bacterial CydD"
"ko:K17319"	-5.29745671304414	8	-1.87293378241786	0.0610775294885264	1	"lplB"	"lplB; putative aldouronate transport system permease protein"
"ko:K19333"	-6.20573789515052	11	-1.87110037686401	0.0613311693771372	1	"kdgR"	"kdgR; IclR family transcriptional regulator, KDG regulon repressor"
"ko:K07474"	-9.34952010907012	25	-1.86990402181402	0.0614971472216238	1	"xtmA"	"xtmA; phage terminase small subunit"
"ko:K21471"	-4.57763158256061	6	-1.86881026795376	0.0616492158119461	1	"cwlO"	"cwlO; peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]"
"ko:K08838"	-4.93822321194458	7	-1.86647293390457	0.0619752273920746	1	"STK24_25_MST4"	"STK24_25_MST4; serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]"
"ko:K11691"	-4.5662544912592	6	-1.86416558987951	0.0622984539814215	1	"K11691, dctS"	"K11691, dctS; two-component system, CitB family, sensor histidine kinase DctS [EC:2.7.13.3]"
"ko:K20882"	-4.15332598188121	5	-1.85742384564049	0.0632508765203134	1	"hadA"	"hadA; (R)-2-hydroxy-4-methylpentanoate CoA-transferase [EC:2.8.3.24]"
"ko:K10009"	-7.65290323831705	17	-1.8561016702478	0.063439067733965	1	"tcyB, yecS"	"tcyB, yecS; L-cystine transport system permease protein"
"ko:K01046"	-7.15144416812463	15	-1.84649494429859	0.0648203727868913	1	"lip, TGL2"	"lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]"
"ko:K01795"	-4.51791810528097	6	-1.84443234293669	0.0651201574136442	1	"algG"	"algG; mannuronan 5-epimerase [EC:5.1.3.37]"
"ko:K02203"	-4.1229878284189	5	-1.84385621094978	0.0652040981811911	1	"thrH"	"thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]"
"ko:K01223"	-4.86946765659994	7	-1.84048577666227	0.0656969505521619	1	"E3.2.1.86B, bglA"	"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"ko:K04651"	-6.6239293457565	13	-1.83714745393659	0.0661881303572818	1	"hypA, hybF"	"hypA, hybF; hydrogenase nickel incorporation protein HypA/HybF"
"ko:K03736"	-4.49665828950826	6	-1.8357530594919	0.0663941866870843	1	"eutC"	"eutC; ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]"
"ko:K01206"	-8.40863192387924	21	-1.83491391819994	0.0665184450918519	1	"FUCA"	"FUCA; alpha-L-fucosidase [EC:3.2.1.51]"
"ko:K22015"	-4.48069895448568	6	-1.829237688252	0.067364008775594	1	"fdhF"	"fdhF; formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-]"
"ko:K05814"	-7.07909506641676	15	-1.82781448656341	0.0675773983198749	1	"ugpA"	"ugpA; sn-glycerol 3-phosphate transport system permease protein"
"ko:K15915"	-4.46609426429317	6	-1.82327534844815	0.0682616980047993	1	"pglC"	"pglC; undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase [EC:2.7.8.36]"
"ko:K00937"	-5.15444252654982	8	-1.82237063187985	0.0683987675752281	1	"ppk1"	"ppk1; polyphosphate kinase [EC:2.7.4.1]"
"ko:K07486"	-9.81108656340982	29	-1.82187303727672	0.0684742523046769	1	"K07486"	"K07486; transposase"
"ko:K16692"	-7.25544982159406	16	-1.81386245539852	0.0696989042044113	1	"etk-wzc"	"etk-wzc; tyrosine-protein kinase Etk/Wzc [EC:2.7.10.3]"
"ko:K03046"	-4.44223020027905	6	-1.81353288511087	0.0697496713134716	1	"rpoC"	"rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]"
"ko:K00284"	-7.0182830177433	15	-1.81211288311267	0.0699687561404534	1	"GLU, gltS"	"GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]"
"ko:K08218"	-5.11151345433246	8	-1.80719291284238	0.0707322055818886	1	"ampG"	"ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG"
"ko:K18244"	-4.04064060388178	5	-1.80702941258509	0.0707576933291369	1	"mmgC"	"mmgC; acyl-CoA dehydrogenase [EC:1.3.99.-]"
"ko:K01438"	-4.77187910435758	7	-1.80360077094225	0.0712939151406295	1	"argE"	"argE; acetylornithine deacetylase [EC:3.5.1.16]"
"ko:K06400"	-8.25796124888698	21	-1.8020348813827	0.0715399177566822	1	"spoIVCA"	"spoIVCA; site-specific DNA recombinase"
"ko:K05823"	-4.76573866943191	7	-1.80127990469153	0.0716587735450672	1	"dapL"	"dapL; N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]"
"ko:K07496"	-9.18157952646789	26	-1.80065589119476	0.0717571339167966	1	"K07496"	"K07496; putative transposase"
"ko:K22210"	-4.75938436400708	7	-1.79887820299029	0.0720379492477082	1	"DGLUCY"	"DGLUCY; D-glutamate cyclase [EC:4.2.1.48]"
"ko:K00027"	-6.20522566118331	12	-1.79129435293328	0.0732460718594809	1	"ME2, sfcA, maeA"	"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]"
"ko:K01487"	-7.15932899344147	16	-1.78983224836037	0.07348088323679	1	"guaD, GDA"	"guaD, GDA; guanine deaminase [EC:3.5.4.3]"
"ko:K02122"	-3.9935631236644	5	-1.78597572339	0.074103188946971	1	"ATPVF, ntpF, atpF"	"ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F"
"ko:K02282"	-5.04587352755159	8	-1.78398569417071	0.074425989788514	1	"cpaE, tadZ"	"cpaE, tadZ; pilus assembly protein CpaE"
"ko:K07316"	-9.76761910393116	30	-1.78331510544716	0.0745350238508906	1	"mod"	"mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]"
"ko:K17213"	-5.63799051942152	10	-1.78288914678078	0.0746043501535576	1	"K17213"	"K17213; inositol transport system substrate-binding protein"
"ko:K02793"	-4.71639992784642	7	-1.78263161322923	0.0746462902101992	1	"manXa"	"manXa; mannose PTS system EIIA component [EC:2.7.1.191]"
"ko:K03672"	-5.90985307772527	11	-1.78188774772198	0.0747675389530928	1	"trxC"	"trxC; thioredoxin 2 [EC:1.8.1.8]"
"ko:K15894"	-8.35456346180729	22	-1.78119891489572	0.0748799608778793	1	"pseB, wbjB"	"pseB, wbjB; UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]"
"ko:K00990"	-4.36261238733444	6	-1.78102904908576	0.0749077052749862	1	"glnD"	"glnD; [protein-PII] uridylyltransferase [EC:2.7.7.59]"
"ko:K19223"	-4.35171118281372	6	-1.77657865097617	0.075637590794207	1	"lytF, cwlE"	"lytF, cwlE; peptidoglycan DL-endopeptidase LytF [EC:3.4.-.-]"
"ko:K00929"	-6.14941482616817	12	-1.77518315262344	0.0758676505783018	1	"buk"	"buk; butyrate kinase [EC:2.7.2.7]"
"ko:K08640"	-3.96548953657836	5	-1.77342083357067	0.0761589993297871	1	"E3.4.17.14"	"E3.4.17.14; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]"
"ko:K03338"	-4.34251384224974	6	-1.77282385241412	0.076257899682691	1	"iolC"	"iolC; 5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]"
"ko:K09969"	-5.318355344816	9	-1.77278511493867	0.0762643208393613	1	"aapJ, bztA"	"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
"ko:K01126"	-7.07451436373692	16	-1.76862859093423	0.076955876218307	1	"E3.1.4.46, glpQ, ugpQ"	"E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
"ko:K03735"	-4.32690374150348	6	-1.76645105547049	0.0773202060355718	1	"eutB"	"eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]"
"ko:K13019"	-3.94508808680353	5	-1.76429702786346	0.07768198411273	1	"wbpI, wlbD"	"wbpI, wlbD; UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]"
"ko:K18889"	-5.28732521872672	9	-1.76244173957557	0.0779946917014064	1	"mdlA, smdA"	"mdlA, smdA; ATP-binding cassette, subfamily B, multidrug efflux pump"
"ko:K00702"	-6.34804656404315	13	-1.76063133736081	0.0783008210633433	1	"E2.4.1.20"	"E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]"
"ko:K01520"	-4.97654739318026	8	-1.759475204307	0.078496828215109	1	"dut, DUT"	"dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]"
"ko:K01817"	-7.03733844025923	16	-1.75933461006481	0.0785206913277426	1	"trpF"	"trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]"
"ko:K13010"	-8.05410945386546	21	-1.75755077275228	0.078823975640567	1	"per, rfbE"	"per, rfbE; perosamine synthetase [EC:2.6.1.102]"
"ko:K01270"	-5.27118166048683	9	-1.75706055349561	0.0789074884331793	1	"pepD"	"pepD; dipeptidase D [EC:3.4.13.-]"
"ko:K08323"	-3.928218223314	5	-1.75675259555671	0.0789599883461257	1	"rspA, manD"	"rspA, manD; mannonate dehydratase [EC:4.2.1.8]"
"ko:K00791"	-4.29661920479094	6	-1.7540874451301	0.079415524606756	1	"miaA, TRIT1"	"miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]"
"ko:K13276"	-4.94798981385904	8	-1.74937857531084	0.0802256017597263	1	"bpr"	"bpr; bacillopeptidase F [EC:3.4.21.-]"
"ko:K16566"	-4.2790037492551	6	-1.74689596552185	0.0806553857943025	1	"exoY"	"exoY; exopolysaccharide production protein ExoY"
"ko:K16707"	-4.2790037492551	6	-1.74689596552185	0.0806553857943025	1	"amsG, cpsA"	"amsG, cpsA; UDP-galactose-lipid carrier transferase"
"ko:K07321"	-5.77389265854851	11	-1.74089413892664	0.0817021362798861	1	"cooC"	"cooC; CO dehydrogenase maturation factor"
"ko:K08369"	-5.76380769717562	11	-1.73785340866308	0.0822366470333492	1	"ydjE"	"ydjE; MFS transporter, putative metabolite:H+ symporter"
"ko:K18967"	-5.20828704817856	9	-1.73609568272619	0.0825469176247066	1	"dge1"	"dge1; diguanylate cyclase [EC:2.7.7.65]"
"ko:K21572"	-7.95378952560911	21	-1.73565916965955	0.0826241170300197	1	"susD"	"susD; starch-binding outer membrane protein, SusD/RagB family"
"ko:K03969"	-4.24362423578766	6	-1.73245233963133	0.083193055917651	1	"pspA"	"pspA; phage shock protein A"
"ko:K01195"	-7.3432791074154	18	-1.73082748433298	0.0834825383227942	1	"uidA, GUSB"	"uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]"
"ko:K02440"	-6.45929202544709	14	-1.72631840859601	0.0842901453526037	1	"GLPF"	"GLPF; glycerol uptake facilitator protein"
"ko:K21613"	-6.22345465170797	13	-1.72607575825061	0.0843337843840295	1	"scmP"	"scmP; N-acetylcysteine deacetylase [EC:3.5.1.-]"
"ko:K16958"	-5.43578747288971	10	-1.71894692909423	0.0856240358771572	1	"tcyL"	"tcyL; L-cystine transport system permease protein"
"ko:K01814"	-5.42897480386919	10	-1.71679257398926	0.086017078273801	1	"hisA"	"hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]"
"ko:K02653"	-7.07784739960798	17	-1.71663014297571	0.0860467713259763	1	"pilC"	"pilC; type IV pilus assembly protein PilC"
"ko:K19167"	-5.42534299826206	10	-1.7156440962155	0.0862272024638124	1	"abiQ"	"abiQ; protein AbiQ"
"ko:K09951"	-10.1412558005675	35	-1.71418509762798	0.0864947369190183	1	"cas2"	"cas2; CRISPR-associated protein Cas2"
"ko:K13663"	-6.62503229076557	15	-1.71057598201476	0.0871594158930667	1	"gumF"	"gumF; acyltransferase [EC:2.3.1.-]"
"ko:K00689"	-5.11673753671814	9	-1.70557917890605	0.0880864586981801	1	"E2.4.1.5"	"E2.4.1.5; dextransucrase [EC:2.4.1.5]"
"ko:K16788"	-6.99798000486068	17	-1.69725945447065	0.0896476191125305	1	"niaX"	"niaX; niacin transporter"
"ko:K00879"	-4.15598282126801	6	-1.69667288197985	0.089758522323279	1	"fucK"	"fucK; L-fuculokinase [EC:2.7.1.51]"
"ko:K03604"	-6.32706197191144	14	-1.69097844026992	0.0908409204291815	1	"purR"	"purR; LacI family transcriptional regulator, purine nucleotide synthesis repressor"
"ko:K16087"	-7.93102312668215	22	-1.69089981204155	0.0908559392157937	1	"TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR"	"TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR; hemoglobin/transferrin/lactoferrin receptor protein"
"ko:K07482"	-4.45411468786993	7	-1.68349711072341	0.0922788982300896	1	"K07482"	"K07482; transposase, IS30 family"
"ko:K08600"	-4.45265099787004	7	-1.68294388790396	0.0923859544263126	1	"srtB"	"srtB; sortase B [EC:3.4.22.71]"
"ko:K01250"	-6.72804213207419	16	-1.68201053301855	0.0925667974587101	1	"rihA"	"rihA; pyrimidine-specific ribonucleoside hydrolase [EC:3.2.2.-]"
"ko:K00265"	-6.28634034591333	14	-1.68009512793298	0.092938808683965	1	"gltB"	"gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]"
"ko:K14415"	-6.47622920217009	15	-1.67215518974846	0.0944937240482878	1	"RTCB, rtcB"	"RTCB, rtcB; tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]"
"ko:K03831"	-6.23764714261898	14	-1.66708132194783	0.0954982356061817	1	"mogA"	"mogA; molybdopterin adenylyltransferase [EC:2.7.7.75]"
"ko:K07458"	-8.15347699167965	24	-1.66432152159483	0.0960481937743733	1	"vsr"	"vsr; DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]"
"ko:K09474"	-4.40097557310963	7	-1.66341241321686	0.0962299100199869	1	"phoN"	"phoN; acid phosphatase (class A) [EC:3.1.3.2]"
"ko:K05820"	-6.63682607460196	16	-1.65920651865049	0.0970741845061234	1	"hcaT"	"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter"
"ko:K03774"	-4.97013818833332	9	-1.65671272944444	0.0975775681773867	1	"slpA"	"slpA; FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]"
"ko:K07052"	-4.68142351416227	8	-1.65513315623515	0.0978974905564626	1	"K07052"	"K07052; CAAX protease family protein"
"ko:K12070"	-5.96635221206749	13	-1.65476837139133	0.0979714920556617	1	"traI"	"traI; conjugal transfer pilus assembly protein TraI"
"ko:K01633"	-4.36235691381823	7	-1.64881593200947	0.0991853499845445	1	"folB"	"folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]"
"ko:K11755"	-5.93340042118961	13	-1.64562918895837	0.0998401258438596	1	"hisIE"	"hisIE; phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31]"
"ko:K01449"	-5.2010654161298	10	-1.64472129745016	0.100027298746488	1	"cwlJ, sleB"	"cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"ko:K02760"	-4.02292424874753	6	-1.6423519472168	0.100517087294947	1	"celA, chbB"	"celA, chbB; cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]"
"ko:K02275"	-5.44379715924088	11	-1.64136660109133	0.100721338524539	1	"coxB, ctaC"	"coxB, ctaC; cytochrome c oxidase subunit II [EC:7.1.1.9]"
"ko:K01174"	-5.44290173693691	11	-1.64109662110849	0.100777360042737	1	"nuc"	"nuc; micrococcal nuclease [EC:3.1.31.1]"
"ko:K07041"	-5.91510659695892	13	-1.64055539501313	0.10088974058224	1	"K07041"	"K07041; uncharacterized protein"
"ko:K00772"	-4.91858351473434	9	-1.63952783824478	0.101103377870724	1	"mtaP, MTAP"	"mtaP, MTAP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]"
"ko:K00971"	-6.34387266540231	15	-1.63798087890424	0.101425682598956	1	"manC, cpsB"	"manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"
"ko:K16011"	-6.34387266540231	15	-1.63798087890424	0.101425682598956	1	"algA, xanB, rfbA, wbpW, pslB"	"algA, xanB, rfbA, wbpW, pslB; mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]"
"ko:K03832"	-7.11950750403775	19	-1.63332703883579	0.102400232965013	1	"tonB"	"tonB; periplasmic protein TonB"
"ko:K19119"	-8.45949246079408	27	-1.62803008314902	0.103518507114786	1	"cas5d"	"cas5d; CRISPR-associated protein Cas5d"
"ko:K00432"	-4.88117816224601	9	-1.62705938741534	0.103724485419236	1	"gpx, btuE, bsaA"	"gpx, btuE, bsaA; glutathione peroxidase [EC:1.11.1.9]"
"ko:K07386"	-5.8614066996548	13	-1.6256617232272	0.104021636927769	1	"pepO"	"pepO; putative endopeptidase [EC:3.4.24.-]"
"ko:K07494"	-4.29306092039285	7	-1.62262450837279	0.10466969807488	1	"K07494"	"K07494; putative transposase"
"ko:K04023"	-4.28386284151835	7	-1.61914796133829	0.105415431518665	1	"eutH"	"eutH; ethanolamine transporter"
"ko:K00931"	-4.26739676775854	7	-1.61292437044714	0.106760939815271	1	"proB"	"proB; glutamate 5-kinase [EC:2.7.2.11]"
"ko:K16841"	-4.82377049843479	9	-1.60792349947826	0.107851934433193	1	"hpxA"	"hpxA; allantoin racemase [EC:5.1.99.3]"
"ko:K06139"	-5.56095124244855	12	-1.60530834838903	0.108425962841637	1	"pqqE"	"pqqE; PqqA peptide cyclase [EC:1.21.98.4]"
"ko:K07318"	-5.99426539084231	14	-1.60203481270918	0.109147911486556	1	"K07318"	"K07318; adenine-specific DNA-methyltransferase [EC:2.1.1.72]"
"ko:K01224"	-8.00179883355296	25	-1.60035976671059	0.109518795119517	1	"E3.2.1.89"	"E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]"
"ko:K22111"	-3.57621213494915	5	-1.59933068714119	0.109747144402783	1	"nanS"	"nanS; 9-O-acetyl-N-acetylneuraminic acid deacetylase"
"ko:K19159"	-7.14284299946107	20	-1.59718824994035	0.110223751101192	1	"yefM"	"yefM; antitoxin YefM"
"ko:K20382"	-3.56438819166847	5	-1.59404285895365	0.110926435788937	1	"asa1"	"asa1; aggregation substance"
"ko:K17235"	-3.5615580407469	5	-1.59277717698421	0.111210186867408	1	"araP"	"araP; arabinooligosaccharide transport system permease protein"
"ko:K02039"	-5.51616184925501	12	-1.59237876428046	0.111299624789201	1	"phoU"	"phoU; phosphate transport system protein"
"ko:K09144"	-7.11611482237377	20	-1.59121164785216	0.111561952398516	1	"K09144"	"K09144; uncharacterized protein"
"ko:K07251"	-6.15380310348833	15	-1.58890512904332	0.112081813053492	1	"thiK"	"thiK; thiamine kinase [EC:2.7.1.89]"
"ko:K02761"	-4.76029417205819	9	-1.5867647240194	0.112565941092147	1	"celB, chbC"	"celB, chbC; cellobiose PTS system EIIC component"
"ko:K00010"	-5.01403191255823	10	-1.58557611044542	0.112835499012033	1	"iolG"	"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]"
"ko:K12511"	-5.7049354726612	13	-1.58226441306872	0.113589221146828	1	"tadC"	"tadC; tight adherence protein C"
"ko:K00207"	-3.87550886246654	6	-1.58216986777952	0.113610797157463	1	"DPYD"	"DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]"
"ko:K18195"	-3.86889471620613	6	-1.57946965387583	0.114228371724209	1	"RGL4, rhiE"	"RGL4, rhiE; rhamnogalacturonan endolyase [EC:4.2.2.23]"
"ko:K21559"	-4.72864272455395	9	-1.57621424151798	0.114976437515377	1	"cprC"	"cprC; NosR/NirI family transcriptional regulator, putative reductive dehalogenation system regulator"
"ko:K01658"	-7.03512412771788	20	-1.57310157797261	0.115695299627743	1	"trpG"	"trpG; anthranilate synthase component II [EC:4.1.3.27]"
"ko:K13327"	-5.21620745023702	11	-1.57274572191751	0.115777708290367	1	"spnN, oleW"	"spnN, oleW; dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase [EC:1.1.1.384]"
"ko:K02474"	-5.65256651813722	13	-1.56773987839344	0.116941850932722	1	"wbpO"	"wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-]"
"ko:K12554"	-4.14328113420543	7	-1.56601307041903	0.117345557286589	1	"murN"	"murN; alanine adding enzyme [EC:2.3.2.-]"
"ko:K12510"	-4.4249274379565	8	-1.56444809881873	0.117712372552925	1	"tadB"	"tadB; tight adherence protein B"
"ko:K03733"	-3.82272038883892	6	-1.56061906366484	0.1186136580408	1	"xerC"	"xerC; integrase/recombinase XerC"
"ko:K08302"	-4.12815041435693	7	-1.56029419586524	0.118690374366424	1	"gatY-kbaY"	"gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]"
"ko:K02575"	-5.39263035670253	12	-1.55671829404118	0.1195373832922	1	"NRT, narK, nrtP, nasA"	"NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter"
